created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2025-11-21T18:26:52+00:00,1,25.2,0,170,25.182436,55.375648,6,,,,,,
2025-11-21T18:35:55+00:00,2,25.0,0,210,25.182436,55.375648,6,,,,,,
2025-11-21T19:56:42+00:00,3,25.0,0,206,25.182480,55.375992,8,,,,,,
2025-11-22T06:24:10+00:00,4,25.0,88,219,25.204800,55.270802,0,,,,,,
2025-11-22T06:28:33+00:00,5,25.0,186,214,25.204800,55.270802,0,,,,,,
2025-11-22T06:32:44+00:00,6,23.1,123,156,25.204800,55.270802,0,,,,,,
2025-11-22T06:37:23+00:00,7,25.0,125,157,25.204800,55.270802,0,,,,,,
2025-11-22T06:41:03+00:00,8,25.0,130,130,25.204800,55.270802,0,,,,,,
2025-11-22T07:01:23+00:00,9,25.0,143,150,25.204800,55.270802,0,,,,,,
2025-11-22T07:06:02+00:00,10,25.0,128,215,25.204800,55.270802,0,,,,,,
2025-11-22T07:11:34+00:00,11,25.0,76,192,25.204800,55.270802,0,,,,,,
2025-11-22T14:37:46+00:00,12,23.5,0,358,25.125799,55.384697,-44,9.5,0,,,,
2025-11-22T14:38:01+00:00,13,23.5,0,358,25.125799,55.384697,-44,9.5,0,,,,
2025-11-22T14:38:16+00:00,14,23.1,0,356,25.125803,55.384701,-42,12.25,0,,,,
2025-11-22T14:41:02+00:00,15,23.3,30,360,25.126137,55.384861,-102,8.75,0,,,,
2025-11-22T14:41:17+00:00,16,23.8,28,361,25.126318,55.384968,-102,9.25,0,,,,
2025-11-22T14:41:32+00:00,17,23.7,31,361,25.126387,55.385006,-103,9.0,0,,,,
2025-11-22T14:41:47+00:00,18,23.7,31,361,25.126387,55.385006,-103,9.0,0,,,,
2025-11-22T14:42:06+00:00,19,23.7,30,362,25.126408,55.385017,-100,9.0,0,,,,
2025-11-22T14:57:44+00:00,20,23.3,23,0,25.125837,55.384708,-101,9.5,0,,,,
2025-11-22T14:58:45+00:00,21,23.6,26,2,25.125834,55.384708,-72,9.75,0,,,,
2025-11-22T14:59:00+00:00,22,23.6,25,2,25.125834,55.384708,-71,9.75,0,,,,
2025-11-22T14:59:15+00:00,23,23.6,0,4,25.125834,55.384708,-74,10.25,0,,,,
2025-11-22T14:59:30+00:00,24,23.7,0,5,25.125826,55.384674,-93,9.0,0,,,,
2025-11-22T14:59:45+00:00,25,23.7,0,5,25.125826,55.384674,-93,9.0,0,,,,
2025-11-22T15:00:13+00:00,26,24.0,0,4,25.126011,55.384735,-76,9.25,0,,,,
2025-11-22T15:00:28+00:00,27,24.0,0,4,25.126011,55.384735,-76,9.25,0,,,,
2025-11-22T15:00:43+00:00,28,23.3,0,2,25.126217,55.384853,-80,9.25,0,,,,
2025-11-22T15:00:58+00:00,29,23.3,0,2,25.126217,55.384853,-80,9.25,0,,,,
2025-11-22T15:01:13+00:00,30,23.4,0,4,25.126316,55.384911,-81,9.5,0,,,,
